#FIXME: nie ma form deprecjacyjnych
ABB - +A(subst:$n:$c:$g)	ABBA(subst:$n:$c:$g)
V - pocisk(subst:$n:$c:$g)	V-pocisk(subst:$n:$c:$g)
walkie - talkie(subst:$n:$c:$g)	walkie-talkie(subst:$n:$c:$g)
warmińsko - mazurskie(subst:$n:$c:$g)	warmińsko-mazurskie(subst:$n:$c:$g)
WAT - owskość(subst:$n:$c:$g)	WAT-owskość(subst:$n:$c:$g)
wideo - art(subst:$n:$c:$g)	wideo-art(subst:$n:$c:$g)
won - ton(subst:$n:$c:$g)	won-ton(subst:$n:$c:$g)
wu - wei(subst:$n:$c:$g)	wu-wei(subst:$n:$c:$g)
W - wa(subst:$n:$c:$g)	W-wa(subst:$n:$c:$g)
W - Z(subst:$n:$c:$g)	W-Z(subst:$n:$c:$g)
yacht - club(subst:$n:$c:$g)	yacht-club(subst:$n:$c:$g)
ylang - ylang(subst:$n:$c:$g)	ylang-ylang(subst:$n:$c:$g)
yo - yo(subst:$n:$c:$g)	yo-yo(subst:$n:$c:$g)
z - ca(subst:$n:$c:$g)	z-ca(subst:$n:$c:$g)
zero - jedynkowość(subst:$n:$c:$g)	zero-jedynkowość(subst:$n:$c:$g)
zgaduj - zgadula(subst:$n:$c:$g)	zgaduj-zgadula(subst:$n:$c:$g)
żeń - szeń(subst:$n:$c:$g)	żeń-szeń(subst:$n:$c:$g)
żniwiarko - młockarnia(subst:$n:$c:$g)	żniwiarko-młockarnia(subst:$n:$c:$g)
