ARCOXIA<sup>®</sup> | 35852769	1 tabl. powl. zawiera 30 mg, 60 mg lub 90 mg etorykoksybu
Prevenar 13<sup>®</sup> | 2557	1 dawka (0,5 ml) zawiera skoniugowany z białkiem nośnikowym CRM197 i adsorbowany na fosforanie glinu (0,125 mg glinu) polisacharyd pneumokokowy: serotyp 1 - 2,2 µg, serotyp 3 - 2,2 µg, serotyp 4 - 2,2 µg, serotyp 5 - 2,2 µg, serotyp 6A - 2,2 µg, serotyp 6B - 4,4 µg, serotyp 7F - 2,2 µg, serotyp 9V - 2,2 µg, serotyp 14 - 2,2 µg, serotyp 18C - 2,2 µg, serotyp 19A - 2,2 µg, serotyp 19F - 2,2 µg, serotyp 23F - 2,2 µg.
Prismasol | 9949530	Każdy litr końcowego roztworu po odtworzeniu odpowiada 50 ml roztworu elektrolitów A i 950 ml roztworu buforowego B. Teoretyczna osmolarność: 297 mOsm/l. pH odtworzonego roztworu wynosi: 7,0 do 8,5.
Prothromplex<sup>®</sup> Total NF | 2616	1 fiolka zawiera zespół osoczowych czynników krzepnięcia grupy protrombiny o aktywności 600 j.m. Zawiera: Czynnik IX, Czynnik II, Czynnik VII, Czynnik X oraz około 250 j.m. heparyny i 15-30 j.m. antytrombiny III jako stabilizatorów.
Protopic<sup>®</sup> 0,03%; -0,1%; Protopic<sup>®</sup> 0,03%; -0,1% - (IR) | 504310; 37725199	1 g produktu leczniczego 0,03% lub 0,1% maść zawiera 0,3 mg lub 1,0 mg takrolimusu w postaci takrolimusu, jednowodnego (0,03%) lub (0,1%).
Puregon<sup>®</sup> | 2646	1 fiolka zawiera 50 j.m. lub 100 j.m. rekombinowanego hormonu folikulotropowego (FSH) w 0,5 ml wodnego roztworu. Odpowiada to stężeniu 100 j.m./ml lub 200 j.m/ml. 1 fiolka zawiera 5 µg lub 10 µg białka (swoista bioaktywność w warunkach <i>in vivo</i> odpowiadająca około 10 000 j.m. FSH / mg białka). 1 wkład zawiera dawkę 300 j.m. lub 600 j.m. rekombinowanego hormonu folikulotropowego (FSH) w 0,36 ml lub 0,72 ml wodnego roztworu. Roztwór do wstrzykiwań zawiera jako substancję czynną folikulotropinę beta, o stężeniu 833 j.m./ml wodnego roztworu produkowaną metodą inżynierii genetycznej z komórek jajnika chomika chińskiego (CHO). Odpowiada to 83,3 µg białka /ml (swoista bioaktywność <i>in vivo</i> odpowiadająca około 10 000 j.m. FSH / mg białka).
Pylera | 12261988	1 kaps. twarda zawiera 140 mg bizmutu potasu cytrynianu zasadowego (co odpowiada 40 mg bizmutu tlenku), 125 mg metronidazolu oraz 125 mg chlorowodorku tetracykliny.
Płyn jelitowy zapobiegawczy izotoniczny Baxter | 26309310	5,50 mg chlorku sodu,  0,45 mg chlorku potasu i 6,80 mg sodu octan trójwodny/ml.
Qlaira<sup>®</sup> | 8541383	1 blister wklejony w tekturowe pudełko (opakowanie typu „portfelik”) zawiera 28 tabl. powl. ułożonych w następującej kolejności: 2 ciemnożółte tabl., z których każda zawiera 3 mg estradiolu walerianianu; 5 jasnoczerwonych tabl., z których każda zawiera 2 mg estradiolu walerianianu; i 2 mg dienogestu; 17 jasnożółtych tabl., z których każda zawiera 2 mg estradiolu walerianianu; i 3 mg dienogestu; 2 ciemnoczerwone tabl., z których każda zawiera 1 mg estradiolu walerianianu; 2 białe tabl., które nie zawierają substancji czynnych.
Recalvit D | 7736432	1 tabl. mus. zawiera 2500 mg wapnia węglanu, co odpowiada 1000 mg jonów wapnia i 880 j.m. (22 µg) cholekalcyferolu (wit. D<sub>3</sub>).
Recombinate 250 IU; -500 IU; -1000 IU | 11149339	1 fiol. z 5 ml zawiera 250 j.m., 500 j.m. lub 1000 j.m. oktokogu &alpha;46
Rekovelle | 36992613	1 wkład wielokrotnego dawkowania zawiera 12 µg, 36 µg lub 72 µg folitropiny delta w 0,36 ml, 1,08 ml lub 1 ml roztw. zawiera 33,3 µg folitropiny delta (rekombinowany ludzki hormon folikulotropowy (FSH) produkowany w ludzkiej linii komórkowej (PER.C6) z wykorzystaniem technologii rekombinacji DNA).
Relvar Ellipta | 26285614	1 inhalacja zapewnia dostarczanie dawki (dawka opuszczająca ustnik) zawierającej 92 µg lub 184 µg flutykazonu furoinianu i 22 µg wilanterolu (w postaci trifenylooctanu). Odpowiada to dawce odmierzonej zawierającej 100 µg lub 200 µg  flutykazonu furoinianu i 25 µg wilanterolu (w postaci trifenylooctanu).
Ribomunyl<sup>®</sup> | 2740	1 tabl. zawiera 0,525 mg rybosomów w przeliczeniu na rybosomalny RNA pochodzący z rybosomów wyodrębnionych z następujących szczepów bakterii: <i>Klebsiella pneumoniae</i> 3,5 części, <i>Streptococcus pneumoniae</i> 3,0 części, <i>Streptococcus pyogenes</i> grupy A 3,0 części, <i>Haemophilus influenzae</i> 0,5 części i 1,875 mg proteoglikanów (frakcja błonowa) ze szczepu <i>Klebsiella pneumoniae</i> (15 części). 1 saszetka zawiera 0,750 mg rybosomów wyodrębnionych ze szczepów bakteryjnych: <i>Klebsiella pneumoniae</i> 35 części, <i>Streptococcus pneumoniae</i> 30 części, <i>Streptococcus pyogenes</i> 30 części, <i>Haemophilus influenzae</i> 5 części i  1,125 mg proteoglikanów frakcji błonowej ze szczepu <i>Klebsiella pneumoniae.</i>
Ribomunyl<sup>®</sup> - (IR) | 37515715	1 tabl. zawiera 0,525 mg rybosomów w przeliczeniu na rybosomalny RNA pochodzący z rybosomów wyodrębnionych z następujących szczepów bakterii: <i>Klebsiella pneumoniae</i> 3,5 części, <i>Streptococcus pneumoniae</i> 3,0 części, <i>Streptococcus pyogenes</i> grupy A 3,0 części, <i>Haemophilus influenzae</i> 0,5 części i 1,875 mg proteoglikanów (frakcja błonowa) ze szczepu <i>Klebsiella pneumoniae</i> (15 części).
Ribomunyl<sup>®</sup> - (IR); Ribomunyl<sup>®</sup> - (IR) | 37232423; 37516540	1 saszetka zawiera 0,750 mg rybosomów wyodrębnionych ze szczepów bakteryjnych: <i>Klebsiella pneumoniae</i> 35 części, <i>Streptococcus pneumoniae</i> 30 części, <i>Streptococcus pyogenes</i> 30 części, <i>Haemophilus influenzae</i> 5 części i  1,125 mg proteoglikanów frakcji błonowej ze szczepu <i>Klebsiella pneumoniae.</i>
RoActemra | 37067113	1 amp.-strzyk. zawiera 162 mg tocilizumabu w 0,9 ml. Tocilizumab jest rekombinowanym humanizowanym przeciwciałem monoklonalnym podklasy immunoglobuliny G1 (IgG1), skierowanym przeciwko ludzkim rozpuszczalnym, jak i związanym z błonami komórkowymi receptorom interleukiny 6.
Ruconest | 11014926	1 fiol. zawiera 2100 jednostek konestatu alfa, co po rekonstytucji odpowiada 2100 jednostkom w 14 ml lub stężeniu 150 jednostek/ml.
Rudotel<sup>®</sup> | 2780	1 tabl. zawiera 10 mg medazepamu oraz laktozę jednowodną.
Runrapiq | 39502049	1 fiol. zawiera 300 mg lub 600 mg landiololu chlorowodorku, co odpowiada 280 mg lub 560 mg landiololu. Po rozpuszczeniu, 1 ml roztw. zawiera 6 mg lub 12 mg landiololu chlorowodorku.
Sandoglobulin-P<sup>®</sup> | 2829	Preparat zawiera immunoglobuliny (96% białka całkowitego) głównie klasy IgG w postaci monomerów lub dimerów oraz albuminę (maks. 3% białka całkowitego). Immunoglobuliny klasy IgA i IgM występują w ilościach śladowych. Preparat nie zawiera żadnych środków konserwujących.
Sativex | 22193804	Każdy ml zawiera: 38-44 mg i 35-42 mg dwóch wyciągów (jako wyciągi gęste) z <i>Cannabis sativa L., folium cum flore</i> (liść i kwiat <i>Cannabis</i>), co odpowiada 27 mg delta-9-tetrahydrokannabinolu oraz 25 mg kannabidiolu.
Seretide<sup>®</sup> 50; -125; -250 | 2869	1 dawka preparatu zawiera: 25 µg salmeterolu (w postaci salmeterolu ksynafonianu, mikronizowanego) i odpowiednio 50 µg, 125 µg lub 250 µg flutykazonu propionianu (mikronizowanego).
Seretide<sup>®</sup> Dysk 100; -250; -500 | 7309020	1 dawka preparatu zawiera: 47 µg salmeterolu (w postaci salmeterolu ksynafonianu, mikronizowany) i odpowiednio 100 µg, 250 µg lub 500 µg flutykazonu propionianu.
Sidretella | 23088725	1 tabl. powl. zawiera 3 mg drospirenonu i 0,02 mg etynyloestradiolu lub 3 mg drospirenonu i 0,03 mg etynyloestradiolu.
SmofKabiven | 8508316	986 ml, 1477 ml lub 1970 ml emulsji zawiera: 500 ml, 750 ml lub 1000 ml roztworu aminokwasów z elektrolitami, 298 ml, 446 ml lub 595 ml glukozy 42% i 188 ml, 281 ml lub 375 ml emulsji tłuszczowej.
SmofKabiven EF | 11150033	986 ml emulsji zawiera: 500 ml roztworu aminokwasów, 298 ml glukozy 42% i 188 ml emulsji tłuszczowej.
Solderol | 36916982	1 tabl. powl. zawiera 8 mg, 10 mg, 70 mg lub 300 mg koncentratu cholekalcyferolu (forma prosz.), co odpowiada 800 j.m. wit. D<sub>3</sub>, 1000 j.m. wit. D<sub>3</sub>, 7000 j.m. wit. D<sub>3</sub> lub 30 000 j.m. wit. D<sub>3</sub>.
Somatuline Autogel | 6958223	Każda fabrycznie napełniona ampułko-strzykawka zawiera przesycony roztwór octanu lanreotydu, o stężeniu odpowiadającym 0,246 mg lanreotydu w postaci zasady na 1 mg roztworu, co zapewnia rzeczywistą dawkę lanreotydu w jednej iniekcji wynoszącą odpowiednio 60 mg, 90 mg lub 120 mg.
Sorbifer Durules; Sorbifer Durules - (IR); Sorbifer Durules - (IR) | 34123280; 37275415; 37461765	1 tabl. zawiera 100 mg żelaza(II) w postaci żelaza(II) siarczanu oraz 60 mg kwasu askorbowego.
Sorel<sup>®</sup> | 3703431	1 g maści lub 1 ml płynu zawiera µg kalcypotriolu.
Spiolto Respimat; Yanimo<sup>®</sup> Respimat<sup>®</sup> | 33381318; 37567821	Dostarczana dawka zawiera 2,5 µg tiotropium (w postaci bromku jednowodnego) i 2,5 µg olodaterolu (w postaci chlorowodorku) na inhalację. Dawka dostarczana jest to dawka, która po przejściu przez ustnik inhalatora jest dostępna dla pacjenta.
Staloral 300 | 8337	10 IR/ml lub 300 IR/ml. Substancję czynną stanowią wyciągi alergenowe lub ich mieszanki o stężeniu 10 lub 300 IR/ml w połączeniu z mannitolem. Ilość mannitolu nie przekracza 40 mg/ml.
Stelara | 13482024	1 fiolka do jednorazowego użytku zawiera 45 mg lub 90 mg ustekinumabu w 0,5 ml lub w 1 ml roztworu.
Strimvelis | 31947173	Produkt końcowy składa się z 1 lub więcej worków z kopolimeru etylenu z octanem winylu (EVA), które zawierają frakcję komórek wzbogaconą o autologiczne komórki CD34<sup>+</sup>, transdukowane wektorem retrowirusowym zawierającym ludzką sekwencję cDNA ADA. Dane ilościowe dotyczące liczby komórek CD34<sup>+</sup>/kg oraz łącznej liczby komórek w produkcie są przedstawione w oznakowaniu każdej serii. Stężenie wynosi 1-10 milionów komórek CD34<sup>+</sup>/ml.
Sulperazon 1g; 2g | 2935600	1 fiolka zawiera 500 mg lub 1 g cefoperazonu w postaci soli sodowej oraz 500 mg lub 1 g sulbaktamu w postaci soli sodowej (w stosunku 1:1).
Supliven | 37052943	1 ml zawiera: 5,33 µg chromu (III) chlorek sześciowodny, 0,10 mg miedzi (II) chlorek dwuwodny, 0,54 mg żelaza (III) chlorek sześciowodny, 19,8 µg manganu (II) chlorek czterowodny, 16,6 µg potasu jodek, 0,21 mg sodu fluorek, 4,85 µg sodu molibdenian (VI) dwuwodny, 17,3 µg sodu selenin bezwodnego, 1,05 mg cynku chlorek. Co odpowiada (w 1 ml): 0,02 µmol Cr, 0,60 µmol Cu, 2,00 µmol Fe, 0,10 µmol Mn, 0,10 µmol I, 5,00 µmol F, 0,02 µmol Mo, 0,10 µmol Se, 7,70 µmol Zn. Zawartości sodu i potasu odpowiadają: 120 µg sód, 3,9 µg potas.
Survanta<sup>®</sup> | 3017	1 ml preparatu zawiera 25 mg fosfolipidów (w tym 11-15,5 mg fosfatydylocholiny), 0,5-1,75 mg triglicerydów, 1,4-3,5 mg wolnych kwasów tłuszczowych oraz 0,1-1 mg białek.
Synjardy | 27608770	1 tabl. zawiera 5 mg lub 12, 5 mg empagliflozyny i 850 mg lub 1000 mg chlorowodorku metforminy.
Systen<sup>®</sup> 50 | 3037	1 system transdermalny zawiera jako substancję czynną 3,2 mg estradiolu w postaci estradiolu półwodnego i uwalnia z powierzchni 16 cm<sup>2</sup> 50 µg estradiolu w ciągu 24 h.
Systen<sup>®</sup> Sequi | 3039	Produkt składa się z 4 systemów transdermalnych Systen 50 oraz 4 systemów transdermalnych Systen Conti. Systen 50 zawiera 3,2 mg estradiolu w postaci estradiolu półwodnego i uwalnia z powierzchni 16 cm<sup>2</sup> 50 µg estradiolu w ciągu 24 h. Systen Conti zawiera 3,2 mg estradiolu w postaci estradiolu półwodnego oraz 11,2 mg noretysteronu w ciągu 24 h oraz 170 µg noretysteronu octanu w ciągu 24 h.
Szczepionka przeciwgruźlicza BCG 10 | 3041	1 amp. z proszkiem zawiera 0,5 mg (od 1,5 mln do 6 mln) żywych prątków BCG (<i>Bacillus Calmette-Guerin</i>), podszczep brazylijski Moreau. 1 dawka (0,1 ml) zawiera 50 µg półsuchej masy prątków BCG i co najmniej 150 000 do 600 000 żywych prątków BCG.
Szczepionka tężcowa adsorbowana (T) | 3042	1 dawka 0,5 ml zawiera nie mniej niż 40 j.m. toksoidu tężcowego i nie więcej niż 1,25 mg Al <sup>3+</sup>.
Tardyferon-Fol<sup>®</sup>; Tardyferon-Fol<sup>®</sup> - (IR); Tardyferon-Fol<sup>®</sup> - (IR) | 3081; 37332427; 37612043	1 tabl. powl. zawiera 80 mg jonów żelaza (II) w postaci żelaza (II) siarczanu oraz 0,35 mg kwasu foliowego.
Targin | 9934109	1 tabl. o przedł. uwalnianiu zawiera 5 mg, 10 mg, 20 mg lub 40 mg oksykodonu chlorowodorku, co odpowiada 4,5 mg, 9 mg, 18 mg lub 36 mg oksykodonu oraz 2,73 mg, 5,45 mg, 10,9 mg lub 21,8 mg naloksonu chlorowodorku dwuwodnego, co odpowiada 2,5 mg, 5 mg, 10 mg lub 20 mg naloksonu chlorowodorku i 2,25 mg, 4,5 mg, 9 mg lub 18 mg naloksonu.
Tetraspan | 11150743	1 000 ml roztworu zawiera 60 g lub 100 g Hydroksyetyloskrobii (HES).
Timoptic<sup>®</sup> 0,5% | 10271993	1 ml roztw. zawiera jako substancję czynną 5 mg tymololu w postaci 6,8 mg maleinianu tymololu oraz substancje pomocnicze, m. in. benzalkoniowy chlorek.
Transtec<sup>®</sup> 35 µg/h; -52,5 µg/h; -70 µg/h | 91089	Pojedynczy system transdermalny zawiera 20 mg, 30 mg lub 40 mg buprenorfiny i uwalnia odpowiednio 35 µg/h, 52,5 µg/h lub 70 µg/h buprenorfiny w ciągu 96 h.
Tresiba<sup>®</sup> Penfill<sup>®</sup>; -FlexTouch<sup>®</sup> | 21187416	1 ml roztw. zawiera 100 jednostek insuliny degludec/insuliny aspart w stosunku 70/30 (odpowiadających 2,56 mg insuliny degludec i 1,05 mg insuliny aspart).
Trinordiol 21 | 2902427	Opakowanie 21 tabl. draż. zawierających zmieniającą się w trakcie cyklu dawkę etynyloestradiolu i lewonorgestrelu: pierwsze 6 dni cyklu - 6 brązowych tabl.: 0,05 mg lewonorgestrelu i 0,03 mg etinylestradiolu; następne 5 dni - 5 białych tabl.: 0,075 mg lewonorgestrelu i 0,04 mg etinylestradiolu; ostatnie 10 dni - 10 tabl. koloru ochry: 0,125 mg lewonorgestrelu i 0,03 mg etinylestradiolu.
Tripacel<sup>®</sup> | 3235	1 dawka (0,5 ml) zawiera: toksoid błoniczy nie mniej niż 30 j.m, toksoid tężcowy nie mniej niż 40 j.m. Bezkomórkowe antygeny krztuśca: toksoid krztuścowy (PT) 10 µg, hemaglutynina włókienkowa (FHA) 5 µg, pertaktyna (PRN) 3 µg, fimbrie typu 2 i 3 (FIM) 5 µg.
Triplixam | 23146799	1 tabl. powl. zawiera 3,395 mg lub 6,790 mg peryndoprylu (co odpowiada 5 mg lub 10 mg peryndoprylu z argininą), 1,25 mg lub 2,5 mg indapamidu oraz 6,935 mg lub 13,870 mg amlodypiny bezylanu (co odpowiada 5 mg lub 10 mg amlodypiny).
Trisequens<sup>®</sup> | 3238	12 niebieskich tabl. zawierających 2 mg estradiolu; 10 białych tabl. zawierających 2 mg estradiolu i 1 mg octanu noretysteronu; 6 czerwonych tabl. zawierających 1 mg estradiolu.
Triveram | 31956972	1 tabl. powl. zawiera 21,64 mg lub 43,28 mg atorwastatyny wapniowej trójwodnej, co odpowiada 20 mg lub 40 mg atorwastatyny, 5 mg lub 10mg peryndoprylu z argininą, co odpowiada 3,40 mg lub 6,79 mg peryndoprylu oraz 6,94 mg lub 13,87 mg amlodypiny bezylanu, co odpowiada 5 mg lub 10 mg amlodypiny.
Trulicity | 35049067	Każdy wstrzykiwacz półautomatyczny napełniony zawiera 0,75 mg lub 1,5 mg dulaglutydu w 0,5 ml roztw.
Tussipect<sup>®</sup> | 22591565	5 ml syropu zawiera: 622 mg wyciągu tymiankowego, DER 1 : 3-5; ekstrahent: mieszanina etanolu 96 % (v/v), wody i glicerolu; substancja pomocnicza: amonu wodorotlenek stężony - 0,1 %, 4,35 mg efedryny chlorowodorku, 1,43 mg saponiny.
Tussipect<sup>®</sup> | 3258	1 tabl. zawiera 60 mg wyciągu suchego z korzenia lukrecji (Liquiritiae radicis extractum siccum, DER 5-9:1; ekstrahent: woda), 72 mg korzenia lukrecji sproszkowanego (Liquiritiae radix pulveris),  15 mg efedryny chlorowodorku, 16,7 mg sodu benzoesanu  i 12 mg  saponiny. 5 ml syropu zawiera 4,35 mg efedryny chlorowodorku, 622 mg  wyciągu tymiankowego (Thymi extractum), DER 1 : 3-5; ekstrahent:  mieszanina etanolu 96%, wody i glicerolu; substancja pomocnicza: amonu  wodorotlenek stężony- 0,1%, oraz 1,43 mg saponiny.
Ty-Szczepionka durowa | 3263	1 dawka (0,5 ml) zawiera: nie mniej niż 5 x 10<sup>8</sup> i nie więcej niż 1 x 10<sup>9</sup> bakterii <i>Salmonella typhi</i> (inaktywowanych).
Ubistesin<sup>™</sup> Forte | 26193340	1 ml roztworu do wstrzykiwań zawiera: 40 mg chlorowodorku artykainy i 0,012 mg chlorowodorku epinefryny (odpowiada 0,01 mg epinefryny).
Ultracod | 10415327	1 tabl. zawiera 500 mg paracetamolu i 30 mg kodeiny półwodnego fosforanu.
Unasyn<sup>®</sup> | 158817	1 tabl. zawiera 375 mg sultamycyliny w postaci tosylanu sultamycyliny, która jest wspólnym prolekiem sulbaktamu i ampicyliny, i odpowiada ilościowo 147 mg sulbaktamu i 220 mg ampicyliny.
Valsartan + HCT Genoptim | 35247340	Każda tabletka zawiera: 80 mg walsartanu i 12,5 mg hydrochlorotiazydu, 160 mg walsartanu i 12,5 mg hydrochlorotiazydu, 160 mg walsartanu i 25 mg hydrochlorotiazydu.
Valtap HCT | 10970013	1 tabl. powl. zawiera 160 mg walsartanu i&nbsp;12,5 mg lub i&nbsp;25 mg hydrochlorotiazydu.
Vamin<sup>®</sup> 14 EF; -18 EF | 2978636	1000 ml roztworu 14 EF (18 EF) zawiera: 12 g (16 g) L-alaniny, 8,4 g (11,3 g) L-argininy, 2,5 g (3,4 g) kwasu L-asparaginowego, 0,42 g (0,56 g) L-cysteiny i L-cystyny, 4,2 g (5,6 g) kwasu L-glutaminowego, 5,9 g (7,9 g) glicyny, 5,1 g (6,8 g) L-histydyny, 4,2 g (5,6 g) L-izoleucyny, 5,9 g (7,9 g) L-leucyny, 6,8 g (9 g) L-lizyny, 4,2 g (5,6 g) L-metioniny, 5,9 g (7,9 g) L-fenyloalaniny, 5,1 g (6,8 g) L-proliny, 3,4 g (4,5 g) L-seryny, 4,2 g (5,6 g) L-treoniny, 1,4 g (1,9 g) L-tryptofanu, 0,17 g (0,23 g) L-tyrozyny, 5,5 g (7,3 g) L-waliny. Wartość energetyczna 1000 ml roztworu 14 EF wynosi 1400 kJ (350 kcal), roztworu 18 EF - 1900 kJ (460 kcal). Osmolalność: 810 mOsm/kg H<sub>2</sub>O (14 EF), 1130 mOsm/kg H<sub>2</sub>O (18 EF); pH 5,6. Zawartość azotu: 13,5 g/l (14 EF), 18 g/l (18 EF).
Vaminolact<sup>®</sup> | 3318	1000 ml roztworu zawiera: 6,3 g L-alaniny, 4,1 g L-argininy, 4,1 g kwasu L-asparaginowego, 1 g L-cysteiny i L-cystyny, 7,1 g kwasu L-glutaminowego, 2,1 g glicyny, 2,1 g L-histydyny, 3,1 g L-izoleucyny, 7 g L-leucyny, 5,6 g L-lizyny, 1,3 g L-metioniny, 2,7 g L-fenyloalaniny, 5,6 g L-proliny, 3,8 g L-seryny, 0,3 g tauryny, 3,6 g L-treoniny, 1,4 g L-tryptofanu, 0,5 g L-tyrozyny, 3,6 g L-waliny. Wartość energetyczna 1000 ml: 1000 kJ (240 kcal). Osmolalność: 510 mOsm/kg H<sub>2</sub>O. Zawartość azotu: 9,3 g/l.
Vanatex<sup>®</sup> HCT | 12117305	1 tabl. powl. zawiera odpowiednio 80 mg walsartanu i 12,5 mg hydrochlorotiazydu, 160 mg walsartanu i 12,5 mg hydrochlorotiazydu, 160 mg walsartanu i 25 mg hydrochlorotiazydu.
Vancomycin Sandoz | 10500210	Każda fiolka zawiera 500 mg lub 1000 mg wankomycyny w postaci chlorowodorku, co odpowiada 500 000 j.m. lub 1 000 000 j.m.
VaxigripTetra | 33330622	1 dawka szczepionki (0,5 ml) zawiera rozszczepione, inaktywowane wirusy grypy posiadające zestaw antygenów zgodny z danymi epidemiologicznymi - szczepionka jest zgodna z zaleceniami WHO (dla Półkuli Północnej) i z decyzją UE.
Venomenhal<sup>®</sup> | 91160	Leczenie początkowe i podtrzymujące. Liofilizowany jad owada (osy lub pszczoły) 120 &mu;g standaryzowanego jadu owada.
Vesomni | 37578655	1 tabl. zawiera warstwę 6 mg solifenacyny bursztynianu, co odpowiada 4,5 mg wolnej zasady solifenacyny oraz warstwę 0,4 mg tamsulosyny chlorowodorku, co odpowiada 0,37 mg wolnej zasady tamsulosyny.
Vitaminum A 12 000+E 70; -30 000+E 70 Hasco | 3422	1 kaps. miękka zawiera 12 000 j.m. lub 30 000 j.m. retynolu palmitynianu i 70 mg in all-<i>rac</i>-&alpha;-tokoferylu octanu.
Vitaminum A+D3 Medana | 3293411	1 ml roztw. (ok. 34 krople) zawiera 20 000 j.m. wit. A i 10 000 j.m. wit. D<sub>3</sub>. 1 kropla zawiera 588 j.m. wit. A i 294 j.m. wit. D<sub>3</sub>.
Vitaminum A+E; Vitaminum A+E | 372543; 10775799	1 kaps.  zawiera 30 000 IU retynolu palmitynianu i 70 mg all-<i>rac</i>-&alpha;-tokoferylu octanu.
Vitaminum E Omega Pharma | 26173810	1 kaps. zawiera 100 mg lun 400 mg int-rac-&alpha;-Tocopherylis acetas (all-rac-&alpha;-tokoferylu octanu). Substancje pomocnicze o znanym działaniu: 160 mg lub 190 mg oleju arachidowego, 0,521 mg lub 0,80 mg czerwieni koszenilowej (E124).
Voncento | 21184466	Jedna fiolka zawiera nominalnie: 250 j.m. ludzkiego VIII czynnika krzepnięcia (FVIII), 600 j.m. ludzkiego czynnika von Willebranda (VWF). Po rekonstytucji 5 mililitrami roztwór zawiera 50 j.m./ml F VIII i 120 j.m./ml VWF.
Wilate 450; -900 | 9923689	Produkt wytwarzany z osocza ludzkich dawców, występuje w postaci proszku i rozpuszczalnika do sporządzania roztworu do wstrzykiwań zawierającego nominalnie 500 j.m./1000 j.m. ludzkiego VIII czynnika krzepnięcia i ludzkiego czynnika von Willebranda (VWF) w fiolce.
Zalmoxis | 31974820	1 worek produktu leczniczego zawiera 10-100 ml zamrożonej dyspersji o stężeniu 5-20 x 10<sup>6</sup> komórek/ml. Komórki te są pochodzenia ludzkiego i zostały genetycznie zmodyfikowane za pomocą kodowania wektora &gamma;-retrowirusowego z defektem replikacji do genów HSV-TK i &Delta;LNGFR tak, aby sekwencje te zostały zintegrowane z genomem komórek gospodarza. Skład komórkowy oraz ostateczna liczba komórek jest różna i zależy od mc. pacjenta. Ponadto, oprócz komórek T, w skład produktu mogą wchodzić komórki NK oraz szczątkowe ilości monocytów i komórek B.
Zarzio | 10496571	1 amp.-strzykaw. zawiera 30 mln j. lub 480 mln j. (co odpowiada 300 µg lub 480 µg) filgrastymu w 0,5 ml.
Zinacef<sup>®</sup> | 3522	Cefuroksym w postaci soli sodowej, w ilości odpowiednio 750 mg (42mg) i 1,5 g (83mg).
Zineryt - (IR); Zineryt - (IR); Zineryt<sup>®</sup> | 3526; 37346266; 37710763	1 ml gotowego roztworu zawiera 40 mg erytromycyny i 12 mg octanu cynku w postaci kompleksu erytromycyny z octanem cynku.
Ziperid | 3121070	1 tabl. powl. zawiera 1 mg, 2 mg, 3 mg, lub 4 mg rysperydonu.
